count	geneid	symbol	name	chr	orientation	start	end
2	100216545	KMT2E-AS1	KMT2E antisense RNA 1 (head to head)	7	-	105010541	105014140
15	8447	DOC2B	double C2-like domains, beta	17	-	143687	181629
1	339192	LOC339192	-	17	-	45219312	45219973
3	94161	SNORD46	small nucleolar RNA, C/D box 46	1	+	44776491	44776588
2	100616291	MIR4791	microRNA 4791	3	-	19314847	19314930
1	359757	MRPS17P3	mitochondrial ribosomal protein S17 pseudogene 3	3	+	78525102	78525490
20	10907	TXNL4A	thioredoxin-like 4A	18	-	79972220	79988591
902	6387	CXCL12	chemokine (C-X-C motif) ligand 12	10	-	44370152	44385096
10	440503	PLIN5	perilipin 5	19	-	4522530	4535195
38	9524	TECR	trans-2,3-enoyl-CoA reductase	19	+	14527767	14565979
2	101929596	LOC101929596	-	2	-	38458636	38515739
3	100127905	SMIM11P1	small integral membrane protein 11 pseudogene 1	6	-	85735208	85736067
3	345930	ECT2L	epithelial cell transforming 2 like	6	+	138796050	138904069
3	79999	LOC79999	-	17	-	19154523	19158871
5	51409	HEMK1	HemK methyltransferase family member 1	3	+	50569179	50589049
7	56098	PCDHGC4	protocadherin gamma subfamily C, 4	5	+	141485173	141512978
6	169044	COL22A1	collagen, type XXII, alpha 1	8	-	138588234	138914093
1	644714	LIMD1-AS1	LIMD1 antisense RNA 1	3	-	45678164	45688881
1	391019	RPL29P6	ribosomal protein L29 pseudogene 6	1	+	23244728	23245344
3	151258	SLC38A11	solute carrier family 38, member 11	2	-	164897744	164955559
6	100271873	AIRN	antisense of IGF2R non-protein coding RNA	6	-	160003290	160007663
29	6999	TDO2	tryptophan 2,3-dioxygenase	4	+	155903692	155920405
6	126259	TMIGD2	transmembrane and immunoglobulin domain containing 2	19	-	4292226	4302581
12	727851	RGPD8	RANBP2-like and GRIP domain containing 8	2	-	112368368	112433644
1	647013	KCTD9P3	potassium channel tetramerization domain containing 9 pseudogene 3	9	+	37477148	37478313
49	4802	NFYC	nuclear transcription factor Y, gamma	1	+	40691569	40771602
46	96764	TGS1	trimethylguanosine synthase 1	8	+	55773231	55825447
2	100616425	MIR4748	microRNA 4748	19	+	10780253	10780334
1	282697	DIS3L2P1	DIS3L2 pseudogene 1	2	+	232442038	232447965
13	57732	ZFYVE28	zinc finger, FYVE domain containing 28	4	-	2267523	2418689
40	7135	TNNI1	troponin I type 1 (skeletal, slow)	1	-	201403766	201421745
1	283194	LOC283194	-	11	-	58933642	59058451
37	54843	SYTL2	synaptotagmin-like 2	11	-	85694220	85811158
2	100129434	LOC100129434	-	2	-	56173533	56185769
195	637	BID	BH3 interacting domain death agonist	22	-	17734139	17774664
1	100189476	TRP-AGG6-1	transfer RNA-Pro (AGG) 6-1	16	-	3152607	3152678
1	9384	COX6CP1	cytochrome c oxidase subunit VIc pseudogene 1	16	-	11903800	11904192
7	63926	ANKEF1	ankyrin repeat and EF-hand domain containing 1	20	+	10034998	10056763
1	100271428	RPL21P96	ribosomal protein L21 pseudogene 96	11	+	103045202	103045738
17	220963	SLC16A9	solute carrier family 16, member 9	10	-	59650763	59709890
23	64284	RAB17	RAB17, member RAS oncogene family	2	-	237574321	237591125
19	91582	RPS19BP1	ribosomal protein S19 binding protein 1	22	-	39529092	39532854
24	9079	LDB2	LIM domain binding 2	4	-	16501533	16898808
14	27107	ZBTB11	zinc finger and BTB domain containing 11	3	-	101649438	101677143
1	285627	LOC285627	-	5	-	159448555	159466275
12	53829	P2RY13	purinergic receptor P2Y, G-protein coupled, 13	3	-	151326307	151329548
3	440465	BAIAP2-AS1	BAIAP2 antisense RNA 1 (head to head)	17	-	81029132	81034718
62	6229	RPS24	ribosomal protein S24	10	+	78033759	78056812
3	100874222	RNF219-AS1	RNF219 antisense RNA 1	13	+	78054854	78617324
541	5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	12	+	112418731	112509917
3	730091	LINC00886	long intergenic non-protein coding RNA 886	3	-	156747342	156817061
55	3400	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	6	+	19837369	19842199
2	284751	LINC01270	long intergenic non-protein coding RNA 1270	20	+	50292719	50314918
25	55011	PIH1D1	PIH1 domain containing 1	19	-	49446292	49452027
66	4838	NODAL	nodal growth differentiation factor	10	-	70431935	70441708
3	388122	RPSAP55	ribosomal protein SA pseudogene 55	15	+	52885518	52886541
23	80144	FRAS1	Fraser extracellular matrix complex subunit 1	4	+	78056967	78544268
1	28708	TRAJ47	T cell receptor alpha joining 47	14	+	22492850	22492906
8	7697	ZNF138	zinc finger protein 138	7	+	64794387	64853799
570	7428	VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	3	+	10141634	10153669
1	5246	PHBP1	prohibitin pseudogene 1	6	+	150042485	150044310
266	2150	F2RL1	coagulation factor II (thrombin) receptor-like 1	5	+	76819007	76835314
549	6352	CCL5	chemokine (C-C motif) ligand 5	17	-	35871490	35880372
2	440952	EIF1B-AS1	EIF1B antisense RNA 1	3	-	40173144	40309697
56	200576	PIKFYVE	phosphoinositide kinase, FYVE finger containing	2	+	208265752	208358750
11	58498	MYL7	myosin, light chain 7, regulatory	7	-	44138863	44141387
20	1010	CDH12	cadherin 12, type 2 (N-cadherin 2)	5	-	21750863	22853621
21	24138	IFIT5	interferon-induced protein with tetratricopeptide repeats 5	10	+	89414567	89421001
2	100500870	MIR3926-1	microRNA 3926-1	8	-	12727231	12727303
24	27005	USP21	ubiquitin specific peptidase 21	1	+	161159463	161165725
25	1419	CRYGB	crystallin, gamma B	2	-	208142572	208146152
2	102466657	MIR6505	microRNA 6505	12	+	48132796	48132866
2	401463	LOC401463	-	8	-	64574307	64577262
23	53832	IL20RA	interleukin 20 receptor, alpha	6	-	136999970	137045365
1	100418709	CLUHP2	clustered mitochondria (cluA/CLU1) homolog pseudogene 2	Y	+	18281583	18282144
1	729948	CDC26P1	cell division cycle 26 pseudogene 1	7	-	129409852	129410555
6	400709	SIGLEC16	sialic acid binding Ig-like lectin 16 (gene/pseudogene)	19	+	49969654	49975818
5	388581	FAM132A	family with sequence similarity 132, member A	1	-	1242445	1247217
83	6789	STK4	serine/threonine kinase 4	20	+	44966478	45079974
34	1465	CSRP1	cysteine and glycine-rich protein 1	1	-	201483529	201507258
1	100189107	TRK-CTT1-1	transfer RNA-Lys (CTT) 1-1	14	-	58239894	58239966
78	7182	NR2C2	nuclear receptor subfamily 2, group C, member 2	3	+	14947583	15049278
16	113510	HELQ	helicase, POLQ-like	4	-	83407342	83455882
2	100289410	MCF2L-AS1	MCF2L antisense RNA 1	13	-	112967483	112968637
18	26206	SPAG8	sperm associated antigen 8	9	-	35807784	35812271
1	260335	ELF2P2	E74-like factor 2 pseudogene 2	6	-	1512340	1515564
1	28650	TRAV32	T cell receptor alpha variable 32 (pseudogene)	14	+	22185561	22186060
1	442712	RPL7AP40	ribosomal protein L7a pseudogene 40	7	-	97200646	97201469
55	2946	GSTM2	glutathione S-transferase mu 2 (muscle)	1	+	109668021	109683996
4	100128385	FAM225B	family with sequence similarity 225, member B (non-protein coding)	9	-	113104722	113111676
9	163859	SDE2	SDE2 telomere maintenance homolog (S. pombe)	1	-	225982701	225999364
2	641842	SLC23A4P	solute carrier family 23 (nucleobase transporters), member 4, pseudogene	7	-	135277216	135313560
3	118421	LINC00161	long intergenic non-protein coding RNA 161	21	+	28539317	28540354
34	4150	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	16	+	29806082	29811182
1	390885	OR7E18P	olfactory receptor, family 7, subfamily E, member 18 pseudogene	19	-	9260976	9261796
1	100270850	RPL7P15	ribosomal protein L7 pseudogene 15	3	-	124151894	124152561
2	646719	NIPBL-AS1	NIPBL antisense RNA 1 (head to head)	5	-	36871360	36876693
1	450250	PHF5HP	PHD finger protein 5H pseudogene	15	-	100845837	100846794
15	81855	SFXN3	sideroflexin 3	10	+	101031228	101041240
2	692108	SNORD67	small nucleolar RNA, C/D box 67	11	-	46762388	46762498
2	352965	HLA-U	major histocompatibility complex, class I, U (pseudogene)	6	+	29933763	29934879
5	6345	SRL	sarcalumenin	16	-	4189373	4242079
9	80179	MYO19	myosin XIX	17	-	36495754	36535456
64	11096	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	21	-	26917911	26967119
11	60370	AVPI1	arginine vasopressin-induced 1	10	-	97677423	97687257
18	728386	USP17L5	ubiquitin specific peptidase 17-like family member 5	4	+	9339402	9340994
172	1649	DDIT3	DNA-damage-inducible transcript 3	12	-	57516587	57521697
2	100616216	MIR4797	microRNA 4797	3	-	197293877	197293947
179	624	BDKRB2	bradykinin receptor B2	14	+	96204797	96244328
22	9950	GOLGA5	golgin A5	14	+	92794230	92839962
16	56339	METTL3	methyltransferase like 3	14	-	21498130	21511374
3	391121	OR10J4	olfactory receptor, family 10, subfamily J, member 4 (gene/pseudogene)	1	+	159432204	159433135
3	284266	SIGLEC15	sialic acid binding Ig-like lectin 15	18	+	45825579	45842555
139	835	CASP2	caspase 2, apoptosis-related cysteine peptidase	7	+	143288214	143307695
3	693204	MIR619	microRNA 619	12	-	108836907	108837005
195	2120	ETV6	ets variant 6	12	+	11649853	11895401
43	25803	SPDEF	SAM pointed domain containing ETS transcription factor	6	-	34537801	34556332
1	100271503	RPL34P29	ribosomal protein L34 pseudogene 29	16	+	49935025	49935346
25	11183	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	14	-	50418479	50561125
1	646938	LOC646938	-	15	+	78752036	78753391
1	387720	LOC387720	-	10	-	127734609	127737274
37	51495	PTPLAD1	protein tyrosine phosphatase-like A domain containing 1	15	+	65530488	65578354
8	222171	PRR15	proline rich 15	7	+	29563810	29567299
6	126823	KLHDC9	kelch domain containing 9	1	+	161098360	161100347
26	54726	OTUD4	OTU deubiquitinase 4	4	-	145133649	145179972
2	102466253	MIR8076	microRNA 8076	3	-	113432117	113432199
65	58157	NGB	neuroglobin	14	-	77265490	77271311
22	84632	AFAP1L2	actin filament associated protein 1-like 2	10	-	114280729	114405142
10	493869	GPX8	glutathione peroxidase 8 (putative)	5	+	55160155	55167300
1	100131548	RPS6P4	ribosomal protein S6 pseudogene 4	3	+	163102038	163116153
7	145501	ISM2	isthmin 2	14	-	77474393	77498866
19	28952	CCDC22	coiled-coil domain containing 22	X	+	49235466	49250525
61	9099	USP2	ubiquitin specific peptidase 2	11	-	119355214	119381725
8	221711	SYCP2L	synaptonemal complex protein 2-like	6	+	10886830	10974308
1	353010	3.8-1.5	-	6	-	29765115	29766295
1	100189032	TRL-TAG3-1	transfer RNA-Leu (TAG) 3-1	16	-	22195710	22195791
1	100312798	VN1R48P	vomeronasal 1 receptor 48 pseudogene	9	-	38504500	38505436
1	340357	LOC340357	-	8	-	12766061	12811400
70	5214	PFKP	phosphofructokinase, platelet	10	+	3067473	3136804
7	260294	NSUN5P2	NOP2/Sun domain family, member 5 pseudogene 2	7	-	72948292	72954762
1	401375	GTF2IRD2P1	GTF2I repeat domain containing 2 pseudogene 1	7	-	73242750	73280118
1	100270925	RPL12P23	ribosomal protein L12 pseudogene 23	6	+	170199789	170200234
2	100302280	MIR1237	microRNA 1237	11	+	64368601	64368702
41	10783	NEK6	NIMA-related kinase 6	9	+	124257605	124378315
195	3055	HCK	HCK proto-oncogene, Src family tyrosine kinase	20	+	32052187	32101855
2	343296	ADH5P2	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2	1	+	79521068	79522466
6	342574	KRT27	keratin 27	17	-	40776807	40782533
10	91404	SESTD1	SEC14 and spectrin domains 1	2	-	179101691	179264622
1	100271422	RPL21P89	ribosomal protein L21 pseudogene 89	10	+	49815057	49815597
1	492295	RAC1P3	ras-related C3 botulinum toxin substrate 1 pseudogene 3	13	-	41287484	41288438
4	440423	SUZ12P1	suppressor of zeste 12 homolog pseudogene 1	17	+	30709607	30770049
8	285533	RNF175	ring finger protein 175	4	-	153707671	153760234
2	28572	TRBV15	T cell receptor beta variable 15	7	+	142593004	142593472
11	338811	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	12	-	61708247	62260063
6	728392	LOC728392	-	17	-	5499426	5500998
3	54752	FNDC8	fibronectin type III domain containing 8	17	+	35121611	35130731
14	346171	ZFP57	ZFP57 zinc finger protein	6	-	29672391	29681145
23	23589	CARHSP1	calcium regulated heat stable protein 1, 24kDa	16	-	8852941	8869011
20	54471	MIEF1	mitochondrial elongation factor 1	22	+	39500099	39518133
3	100302251	MIR1264	microRNA 1264	X	+	114652654	114652722
20	25834	MGAT4C	MGAT4 family, member C	12	-	85976234	86838903
6	26658	OR7C2	olfactory receptor, family 7, subfamily C, member 2	19	+	14941488	14942447
7	144110	TMEM86A	transmembrane protein 86A	11	+	18698734	18704784
11	286749	STON1-GTF2A1L	STON1-GTF2A1L readthrough	2	+	48529924	48776516
97	148022	TICAM1	toll-like receptor adaptor molecule 1	19	-	4815923	4831741
1	100132420	ANKRD36P1	ankyrin repeat domain 36 pseudogene 1	Y	+	26409519	26439002
27	51384	WNT16	wingless-type MMTV integration site family, member 16	7	+	121325366	121341103
2	284661	LOC284661	-	1	+	4412050	4424683
1	84664	CSPG4P2Y	chondroitin sulfate proteoglycan 4 pseudogene 2, Y-linked	Y	-	24183432	24187229
101	368	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	16	-	16149564	16223672
42	55384	MEG3	maternally expressed 3 (non-protein coding)	14	+	100826107	100861025
1	100874082	HTR2A-AS1	HTR2A antisense RNA 1	13	+	46852139	46856298
31	54606	DDX56	DEAD (Asp-Glu-Ala-Asp) box helicase 56	7	-	44565416	44574537
4	317662	FAM149B1	family with sequence similarity 149, member B1	10	+	73168094	73242180
11	51171	HSD17B14	hydroxysteroid (17-beta) dehydrogenase 14	19	-	48813016	48836702
28	26064	RAI14	retinoic acid induced 14	5	+	34656327	34832611
5	124936	CYB5D2	cytochrome b5 domain containing 2	17	+	4143167	4157700
16	54793	KCTD9	potassium channel tetramerization domain containing 9	8	-	25427841	25458467
19	80746	TSEN2	TSEN2 tRNA splicing endonuclease subunit	3	+	12484431	12539621
17	23007	PLCH1	phospholipase C, eta 1	3	-	155479880	155745088
3	221409	SPATS1	spermatogenesis associated, serine-rich 1	6	+	44342659	44377166
40	1181	CLCN2	chloride channel, voltage-sensitive 2	3	-	184346184	184361650
33	9587	MAD2L1BP	MAD2L1 binding protein	6	+	43629541	43640951
46	771	CA12	carbonic anhydrase XII	15	-	63323530	63382109
5	10388	SYCP2	synaptonemal complex protein 2	20	-	59863556	59933680
1	119678	OR52E2	olfactory receptor, family 52, subfamily E, member 2	11	-	5058649	5059626
5	51442	VGLL1	vestigial-like family member 1	X	+	136532151	136556806
97	8204	NRIP1	nuclear receptor interacting protein 1	21	-	14961234	15065902
48	2314	FLII	flightless I homolog (Drosophila)	17	-	18244814	18258915
21	79096	C11orf49	chromosome 11 open reading frame 49	11	+	46936527	47164380
3	266693	EZH2P1	enhancer of zeste homolog 2 (Drosophila) pseudogene 1	21	+	35599678	35600254
4	404663	LINC01194	long intergenic non-protein coding RNA 1194	5	+	12574856	12805182
44	333	APLP1	amyloid beta (A4) precursor-like protein 1	19	+	35868498	35879796
133	5618	PRLR	prolactin receptor	5	-	35048755	35230588
7	4675	NAP1L3	nucleosome assembly protein 1-like 3	X	-	93670925	93673682
1	644384	RPL23AP71	ribosomal protein L23a pseudogene 71	14	+	34485977	34486502
1	432369	ATP5EP2	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2	13	+	27945205	27945572
67	84126	ATRIP	ATR interacting protein	3	+	48446709	48465654
17	56931	DUS3L	dihydrouridine synthase 3-like (S. cerevisiae)	19	-	5785139	5791237
1	100312837	VN1R92P	vomeronasal 1 receptor 92 pseudogene	19	+	23444287	23445188
9	80003	PCNXL2	pecanex-like 2 (Drosophila)	1	-	232984100	233295712
1	100271520	RPL39P28	ribosomal protein L39 pseudogene 28	12	-	68001393	68001547
51	83605	CCM2	cerebral cavernous malformation 2	7	+	44999745	45076469
216	6275	S100A4	S100 calcium binding protein A4	1	-	153543618	153545805
12	151393	RMDN2	regulator of microtubule dynamics 2	2	+	37920844	38069969
14	84968	PNMA6A	paraneoplastic Ma antigen family member 6A	X	+	153072413	153075018
175	4306	NR3C2	nuclear receptor subfamily 3, group C, member 2	4	-	148078763	148445277
2	439936	C5orf17	chromosome 5 open reading frame 17	5	+	23951772	24201312
1	192146	DDX50P1	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 50 pseudogene 1	2	+	32201497	32204217
1	100532736	MINOS1-NBL1	MINOS1-NBL1 readthrough	1	+	19596976	19658455
3	101927815	LOC101927815	-	8	-	2530091	2728450
12	54937	SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	13	-	36168207	36214614
35	3177	SLC29A2	solute carrier family 29 (equilibrative nucleoside transporter), member 2	11	-	66362520	66372475
53	4987	OPRL1	opiate receptor-like 1	20	+	64080117	64100642
8	693120	MIR33B	microRNA 33b	17	-	17813835	17813930
1	728688	LOC728688	-	12	+	20551568	20554359
14	246175	CNOT6L	CCR4-NOT transcription complex, subunit 6-like	4	-	77713386	77820237
1	100271167	RPL21P50	ribosomal protein L21 pseudogene 50	4	-	123745712	123746266
15	84941	HSH2D	hematopoietic SH2 domain containing	19	+	16134027	16158574
2	729249	KLHL2P1	kelch-like family member 2 pseudogene 1	4	+	119334328	119378232
1	645233	TDGP1	thymine-DNA glycosylase pseudogene 1	12	+	25803192	25806258
2	100616333	MIR3689C	microRNA 3689c	9	-	134849297	134849368
1	103164619	PCAT2	prostate cancer associated transcript 2 (non-protein coding)	8	-	127072693	127082220
3	150568	LINC01102	long intergenic non-protein coding RNA 1102	2	+	104434346	104512756
2	100630923	LOC100630923	-	7	+	102363860	102426681
43	644	BLVRA	biliverdin reductase A	7	+	43758191	43807341
1	22813	TDGF1P6	teratocarcinoma-derived growth factor 1 pseudogene 6	3	+	136155547	136157043
1	100129732	RPS6P15	ribosomal protein S6 pseudogene 15	10	-	111498175	111498940
1	6771	STARP1	steroidogenic acute regulatory protein pseudogene 1	13	-	65280054	65311162
1	729057	LOC729057	-	22	-	15853680	15855341
2	1987	EIF5AP3	eukaryotic translation initiation factor 5A pseudogene 3	19	+	45128524	45129081
2	100616252	MIR548AJ2	microRNA 548aj-2	X	-	38023894	38023985
2	379008	RBMY2TP	RNA binding motif protein, Y-linked, family 2, member T pseudogene	Y	-	21430323	21437346
3	63930	LOC63930	-	20	+	63009382	63085070
2	10064	VDAC1P2	voltage-dependent anion channel 1 pseudogene 2	X	-	49631634	49633358
1	100271017	RPL37P12	ribosomal protein L37 pseudogene 12	2	+	109552536	109552845
1	339910	MRPS35P1	mitochondrial ribosomal protein S35 pseudogene 1	3	+	5446975	5447102
64	7916	PRRC2A	proline-rich coiled-coil 2A	6	+	31620672	31637776
2	102723167	MIR133A1HG	MIR133A1 host gene (non-protein coding)	18	-	21825478	21831405
2	100500890	MIR3611	microRNA 3611	10	-	35079597	35079679
3	693232	MIR647	microRNA 647	20	-	63942630	63942725
10	9819	TSC22D2	TSC22 domain family, member 2	3	+	150408334	150460118
3	100505812	CARD8-AS1	CARD8 antisense RNA 1	19	+	48255674	48258193
1	728629	TPI1P4	triosephosphate isomerase 1 pseudogene 4	4	-	49016276	49017189
2	221584	ZSCAN12P1	zinc finger and SCAN domain containing 12 pseudogene 1	6	+	28090806	28095714
24	25897	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase	8	-	100257058	100336217
1	728207	RPL23AP75	ribosomal protein L23a pseudogene 75	17	-	40439429	40439934
6	387923	SERP2	stress-associated endoplasmic reticulum protein family member 2	13	+	44373841	44397713
19	84272	YIPF4	Yip1 domain family, member 4	2	+	32277888	32307363
40	2802	GOLGA3	golgin A3	12	-	132768908	132829117
10	79675	FASTKD1	FAST kinase domains 1	2	-	169527879	169573920
10	83942	TSSK1B	testis-specific serine kinase 1B	5	-	113432553	113435030
21	8704	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	1	+	43979201	43991170
30	196527	ANO6	anoctamin 6	12	+	45215986	45440403
7	10281	DSCR4	Down syndrome critical region 4	21	-	38006552	38121359
4	390183	RPS4XP13	ribosomal protein S4X pseudogene 13	11	-	57576228	57577104
4	387753	RPL21P97	ribosomal protein L21 pseudogene 97	11	+	9660394	9660955
7	55061	SUSD4	sushi domain containing 4	1	-	223220818	223364201
2	100169989	DBIL5P2	diazepam binding inhibitor-like 5 pseudogene 2	2	-	63117850	63119541
9	221476	PI16	peptidase inhibitor 16	6	+	36948262	36964836
